Time,u[0],d[0],x[0],x[1],x[2],y[0]
0,0,-1.73061,-8.65019e-07,-0.00172975,-0.00173061,0
0.001,0.00126713,0.270059,-2.45829e-06,-0.00145683,-0.00146056,-0.00126713
0.002,0.00106893,1.23883,-3.29464e-06,-0.000216094,-0.000221724,-0.00106893
0.003,0.000161486,0.852041,-3.08467e-06,0.000635899,0.000630317,-0.000161486
0.004,-0.000462426,3.06135,-9.19158e-07,0.00369462,0.00369166,0.000462426
0.005,-0.00270373,0.562846,3.05359e-06,0.00425079,0.00425451,0.00270373
0.006,-0.00311485,2.01959,8.31015e-06,0.00626201,0.0062741,0.00311485
0.007,-0.00459242,-0.375185,1.43792e-05,0.00587616,0.00589891,0.00459242
0.008,-0.00431603,1.11374,2.0807e-05,0.00697915,0.00701265,0.00431603
0.009,-0.0051299,0.932194,2.8246e-05,0.00789878,0.00794485,0.0051299
0.01,-0.00581055,-1.45717,3.54096e-05,0.00642863,0.00648768,0.00581055
0.011,-0.0047415,-0.100249,4.17825e-05,0.00631727,0.00638743,0.0047415
0.012,-0.00466635,0.464892,4.83267e-05,0.00677095,0.00685232,0.00466635
0.013,-0.00500501,-0.854289,5.46647e-05,0.00590532,0.00599803,0.00500501
0.014,-0.00437766,0.654511,6.08921e-05,0.00654923,0.00665254,0.00437766
0.015,-0.00485526,0.670161,6.77706e-05,0.00720765,0.0073227,0.00485526
0.016,-0.00534414,-0.0960431,7.49239e-05,0.00709911,0.00722666,0.00534414
0.017,-0.00527183,1.59296,8.28131e-05,0.00867891,0.00881962,0.00527183
0.018,-0.00643622,1.06681,9.20177e-05,0.00973008,0.00988643,0.00643622
0.019,-0.00721493,-1.90693,0.000100786,0.00780716,0.0079795,0.00721493
0.02,-0.00581603,-0.523001,0.000108325,0.00727081,0.0074565,0.00581603
0.021,-0.00543093,-0.716974,0.000115231,0.0065415,0.00673952,0.00543093
0.022,-0.00490394,-0.749291,0.000121392,0.00578114,0.00599023,0.00490394
0.023,-0.00435348,4.0773,0.000129206,0.00984627,0.0100675,0.00435348
0.024,-0.00733718,-0.837241,0.000138626,0.00899228,0.00923029,0.00733718
0.025,-0.00672143,0.46395,0.000147842,0.00944029,0.00969424,0.00672143
0.026,-0.00705861,2.13545,0.000158341,0.0115582,0.0118297,0.00705861
0.027,-0.00861952,2.3027,0.00017104,0.0138396,0.0141324,0.00861952
0.028,-0.0103023,-0.697579,0.000184519,0.0131182,0.0134348,0.0103023
0.029,-0.00978771,0.42807,0.00019784,0.0135232,0.0138629,0.00978771
0.03,-0.0100975,-0.700219,0.000211001,0.0127997,0.0131627,0.0100975
0.031,-0.00958102,-1.35036,0.000223115,0.0114276,0.0118123,0.00958102
0.032,-0.00858872,1.05128,0.000235058,0.0124584,0.0128636,0.00858872
0.033,-0.00935522,-0.605719,0.000247203,0.0118312,0.0122579,0.00935522
0.034,-0.00890821,0.26581,0.000259156,0.0120761,0.0125237,0.00890821
0.035,-0.00909948,-1.85695,0.000270294,0.0101989,0.0106667,0.00909948
0.036,-0.00773642,-0.703086,0.000280132,0.00947826,0.00996363,0.00773642
0.037,-0.0072187,-0.10814,0.000289548,0.00935348,0.00985549,0.0072187
0.038,-0.00713677,2.15665,0.000299971,0.0114926,0.0120121,0.00713677
0.039,-0.00871312,1.26299,0.000312085,0.0127347,0.0132751,0.00871312
0.04,-0.00963456,-1.77387,0.000323922,0.0109394,0.0115013,0.00963456
0.041,-0.00833211,-0.204017,0.00033475,0.0107162,0.0112972,0.00833211
0.042,-0.00817956,0.867935,0.00034589,0.0115648,0.0121652,0.00817956
0.043,-0.00881193,-0.96242,0.000356964,0.0105825,0.0112028,0.00881193
0.044,-0.00810391,-1.53995,0.000366767,0.00902467,0.00966281,0.00810391
0.045,-0.00697328,0.434797,0.000376001,0.00944325,0.0100976,0.00697328
0.046,-0.00728894,-0.781298,0.000385046,0.00864562,0.00931631,0.00728894
0.047,-0.00671408,-2.92696,0.000392221,0.00570478,0.00638935,0.00671408
0.048,-0.00456841,-2.36867,0.000396736,0.00332702,0.00402067,0.00456841
0.049,-0.00283228,-1.40066,0.00039936,0.0019209,0.00262002,0.00283228
0.05,-0.00180556,0.850447,0.000401704,0.0027672,0.00347046,0.00180556
0.051,-0.00242744,-1.37629,0.000403781,0.00138641,0.00209418,0.00242744
0.052,-0.0014187,-1.0588,0.000404637,0.000325339,0.00103538,0.0014187
0.053,-0.000642801,2.27817,0.0004061,0.0026014,0.00331355,0.000642801
0.054,-0.00231046,-1.14504,0.000408127,0.00145203,0.00216851,0.00231046
0.055,-0.00147108,2.8601,0.000411007,0.00430778,0.00502861,0.00147108
0.056,-0.00356452,-0.113053,0.000415255,0.00418691,0.00491556,0.00356452
0.057,-0.00348029,0.377343,0.000419626,0.0045564,0.0052929,0.00348029
0.058,-0.00375515,0.283387,0.00042432,0.00483134,0.00557629,0.00375515
0.059,-0.00396111,0.397288,0.000429346,0.00521964,0.00597358,0.00396111
0.06,-0.00425039,-1.12239,0.000434,0.00408835,0.00485119,0.00425039
0.061,-0.00342688,0.0699058,0.000438119,0.00415071,0.00492109,0.00342688
0.062,-0.00347665,-2.41121,0.000441061,0.00173308,0.00250988,0.00347665
0.063,-0.00170976,0.8808,0.000443232,0.00261,0.00339068,0.00170976
0.064,-0.00235388,0.950343,0.000446315,0.0035549,0.00434102,0.00235388
0.065,-0.00304869,1.78399,0.000450758,0.0053314,0.00612501,0.00304869
0.066,-0.00435361,0.816337,0.000456493,0.00613765,0.00694135,0.00435361
