Time,u[0],x[0],x[1],y[0]
0,0,0,0,0
0.001,0,0,0,0
0.002,0,0,0,0
0.003,0,0,0,0
0.004,0,0,0,0
0.005,0,0,0,0
0.006,0,0,0,0
0.007,0,0,0,0
0.008,0,0,0,0
0.009,0,0,0,0
0.01,0,0,0,0
0.011,0,0,0,0
0.012,0,0,0,0
0.013,0,0,0,0
0.014,0,0,0,0
0.015,0,0,0,0
0.016,0,0,0,0
0.017,0,0,0,0
0.018,0,0,0,0
0.019,0,0,0,0
0.02,0,0,0,0
0.021,0,0,0,0
0.022,0,0,0,0
0.023,0,0,0,0
0.024,0,0,0,0
0.025,0,0,0,0
0.026,0,0,0,0
0.027,0,0,0,0
0.028,0,0,0,0
0.029,0,0,0,0
0.03,1,0.5,0,0
0.031,1,1.07902,0.25,0.145345
0.032,1,1.54394,0.539511,0.421511
0.033,1,1.84421,0.771969,0.681552
0.034,1,2.00075,0.922106,0.869121
0.035,1,2.05855,1.00038,0.979395
0.036,1,2.0611,1.02927,1.02996
0.037,1,2.04029,1.03055,1.04317
0.038,1,2.01514,1.02015,1.03767
0.039,1,1.99458,1.00757,1.02587
0.04,1,1.9811,0.997288,1.01447
0.041,1,1.97396,0.990551,1.00612
0.042,1,1.97122,0.986978,1.00113
0.043,1,1.97099,0.985611,0.998796
0.044,1,1.97186,0.985497,0.99814
0.045,1,1.97295,0.985928,0.998341
0.046,1,1.97385,0.986473,0.998844
0.047,1,1.97446,0.986927,0.999343
0.048,1,1.97478,0.987229,0.999715
0.049,1,1.97491,0.987392,0.99994
0.05,1,1.97493,0.987457,1.00005
